year,garnizon,sex,suicides,outcome
2015,Rzeszów,Male,373,Attempted
2015,Szczecin,Male,358,Attempted
2015,Warszawa,Male,387,Attempted
2015,Radom,Male,475,Attempted
2015,Wrocław,Male,520,Attempted
2016,Bydgoszcz,Male,297,Attempted
2016,Białystok,Male,311,Attempted
2016,Gdańsk,Male,374,Attempted
2016,Gorzów Wlkp.,Male,233,Attempted
2016,Katowice,Male,1068,Attempted
2016,Kielce,Male,527,Attempted
2016,Kraków,Male,729,Attempted
2016,Łódź,Male,746,Attempted
2016,Lublin,Male,385,Attempted
2016,Olsztyn,Male,395,Attempted
2016,Opole,Male,196,Attempted
2016,Poznań,Male,448,Attempted
2016,Rzeszów,Male,372,Attempted
2016,Szczecin,Male,348,Attempted
2016,Warszawa,Male,376,Attempted
2016,Radom,Male,473,Attempted
2016,Wrocław,Male,471,Attempted
2013,Bydgoszcz,Female,55,Attempted
2013,Białystok,Female,53,Attempted
2013,Gdańsk,Female,57,Attempted
2013,Gorzów Wlkp.,Female,56,Attempted
2013,Katowice,Female,234,Attempted
2013,Kielce,Female,136,Attempted
2013,Kraków,Female,192,Attempted
2013,Łódź,Female,125,Attempted
2013,Lublin,Female,77,Attempted
2013,Olsztyn,Female,86,Attempted
2013,Opole,Female,42,Attempted
2013,Poznań,Female,88,Attempted
2013,Rzeszów,Female,41,Attempted
2013,Szczecin,Female,69,Attempted
2013,Warszawa,Female,94,Attempted
2013,Radom,Female,68,Attempted
2013,Wrocław,Female,104,Attempted
2014,Bydgoszcz,Female,43,Attempted
2014,Białystok,Female,64,Attempted
2014,Gdańsk,Female,91,Attempted
2014,Gorzów Wlkp.,Female,38,Attempted
2014,Katowice,Female,312,Attempted
2014,Kielce,Female,173,Attempted
2014,Kraków,Female,250,Attempted
2014,Łódź,Female,207,Attempted
2014,Lublin,Female,100,Attempted
2014,Olsztyn,Female,109,Attempted
2014,Opole,Female,44,Attempted
2014,Poznań,Female,105,Attempted
2014,Rzeszów,Female,70,Attempted
2014,Szczecin,Female,114,Attempted
2014,Warszawa,Female,121,Attempted
2014,Radom,Female,94,Attempted
2014,Wrocław,Female,122,Attempted
2015,Bydgoszcz,Female,47,Attempted
2015,Białystok,Female,58,Attempted
2015,Gdańsk,Female,90,Attempted
2015,Gorzów Wlkp.,Female,44,Attempted
2015,Katowice,Female,359,Attempted
2015,Kielce,Female,195,Attempted
2015,Kraków,Female,235,Attempted
2015,Łódź,Female,212,Attempted
2015,Lublin,Female,88,Attempted
2015,Olsztyn,Female,100,Attempted
2015,Opole,Female,42,Attempted
2015,Poznań,Female,81,Attempted
2015,Rzeszów,Female,93,Attempted
2015,Szczecin,Female,77,Attempted
2015,Warszawa,Female,97,Attempted
2015,Radom,Female,84,Attempted
2015,Wrocław,Female,99,Attempted
2016,Bydgoszcz,Female,54,Attempted
2016,Białystok,Female,78,Attempted
2016,Gdańsk,Female,87,Attempted
2016,Gorzów Wlkp.,Female,51,Attempted
2016,Katowice,Female,368,Attempted
2016,Kielce,Female,143,Attempted
2016,Kraków,Female,300,Attempted
2016,Łódź,Female,257,Attempted
2016,Lublin,Female,80,Attempted
2016,Olsztyn,Female,88,Attempted
2016,Opole,Female,48,Attempted
2016,Poznań,Female,101,Attempted
2016,Rzeszów,Female,69,Attempted
2016,Szczecin,Female,67,Attempted
2016,Warszawa,Female,99,Attempted
2016,Radom,Female,85,Attempted
2016,Wrocław,Female,137,Attempted
2017,Bydgoszcz,Male,316,Attempted
2017,Białystok,Male,257,Attempted
2017,Gdańsk,Male,433,Attempted
2017,Gorzów Wlkp.,Male,233,Attempted
2017,Katowice,Male,1163,Attempted
2017,Kielce,Male,472,Attempted
2017,Kraków,Male,715,Attempted
2017,Łódź,Male,908,Attempted
2017,Lublin,Male,450,Attempted
2017,Olsztyn,Male,426,Attempted
2017,Opole,Male,190,Attempted
2017,Poznań,Male,561,Attempted
2017,Rzeszów,Male,464,Attempted
2017,Szczecin,Male,370,Attempted
2017,Warszawa,Male,384,Attempted
2017,Radom,Male,537,Attempted
2017,Wrocław,Male,636,Attempted
2018,Bydgoszcz,Male,329,Attempted
2018,Białystok,Male,272,Attempted
2018,Gdańsk,Male,422,Attempted
2018,Gorzów Wlkp.,Male,228,Attempted
2018,Katowice,Male,1189,Attempted
2018,Kielce,Male,382,Attempted
2018,Kraków,Male,707,Attempted
2018,Łódź,Male,859,Attempted
2018,Lublin,Male,476,Attempted
2018,Olsztyn,Male,440,Attempted
2018,Opole,Male,163,Attempted
2018,Poznań,Male,577,Attempted
2018,Rzeszów,Male,454,Attempted
2018,Szczecin,Male,343,Attempted
2018,Warszawa,Male,391,Attempted
2018,Radom,Male,510,Attempted
2018,Wrocław,Male,622,Attempted
2019,Bydgoszcz,Male,325,Attempted
2019,Białystok,Male,328,Attempted
2019,Gdańsk,Male,477,Attempted
2019,Gorzów Wlkp.,Male,290,Attempted
2019,Katowice,Male,1091,Attempted
2019,Kielce,Male,359,Attempted
2019,Kraków,Male,758,Attempted
2019,Łódź,Male,852,Attempted
2019,Lublin,Male,505,Attempted
2019,Olsztyn,Male,481,Attempted
2019,Opole,Male,170,Attempted
2019,Poznań,Male,603,Attempted
2019,Rzeszów,Male,412,Attempted
2019,Szczecin,Male,395,Attempted
2019,Warszawa,Male,384,Attempted
2019,Radom,Male,556,Attempted
2019,Wrocław,Male,796,Attempted
2020,Bydgoszcz,Male,316,Attempted
2020,Białystok,Male,381,Attempted
2020,Gdańsk,Male,500,Attempted
2020,Gorzów Wlkp.,Male,240,Attempted
2020,Katowice,Male,1182,Attempted
2020,Kielce,Male,386,Attempted
2020,Kraków,Male,806,Attempted
2020,Łódź,Male,842,Attempted
2020,Lublin,Male,472,Attempted
2020,Olsztyn,Male,433,Attempted
2020,Opole,Male,145,Attempted
2020,Poznań,Male,602,Attempted
2020,Rzeszów,Male,436,Attempted
2020,Szczecin,Male,400,Attempted
2020,Warszawa,Male,409,Attempted
2020,Radom,Male,511,Attempted
2020,Wrocław,Male,735,Attempted
2021,Bydgoszcz,Male,337,Attempted
2021,Białystok,Male,389,Attempted
2021,Gdańsk,Male,1036,Attempted
2021,Gorzów Wlkp.,Male,244,Attempted
2021,Katowice,Male,1182,Attempted
2021,Kielce,Male,369,Attempted
2021,Kraków,Male,795,Attempted
2021,Łódź,Male,864,Attempted
2021,Lublin,Male,501,Attempted
2021,Olsztyn,Male,390,Attempted
2021,Opole,Male,186,Attempted
2021,Poznań,Male,635,Attempted
2021,Rzeszów,Male,482,Attempted
2021,Szczecin,Male,403,Attempted
2021,Warszawa,Male,460,Attempted
2021,Radom,Male,529,Attempted
2021,Wrocław,Male,703,Attempted
2017,Bydgoszcz,Female,69,Attempted
2017,Białystok,Female,91,Attempted
2017,Gdańsk,Female,154,Attempted
2017,Gorzów Wlkp.,Female,55,Attempted
2017,Katowice,Female,504,Attempted
2017,Kielce,Female,138,Attempted
2017,Kraków,Female,307,Attempted
2017,Łódź,Female,359,Attempted
2017,Lublin,Female,107,Attempted
2017,Olsztyn,Female,137,Attempted
2017,Opole,Female,44,Attempted
2017,Poznań,Female,117,Attempted
2017,Rzeszów,Female,116,Attempted
2017,Szczecin,Female,96,Attempted
2017,Warszawa,Female,77,Attempted
2017,Radom,Female,106,Attempted
2017,Wrocław,Female,146,Attempted
2018,Bydgoszcz,Female,84,Attempted
2018,Białystok,Female,74,Attempted
2018,Gdańsk,Female,147,Attempted
2018,Gorzów Wlkp.,Female,66,Attempted
2018,Katowice,Female,497,Attempted
2018,Kielce,Female,135,Attempted
2018,Kraków,Female,326,Attempted
2018,Łódź,Female,381,Attempted
2018,Lublin,Female,136,Attempted
2018,Olsztyn,Female,106,Attempted
2018,Opole,Female,47,Attempted
2018,Poznań,Female,129,Attempted
2018,Rzeszów,Female,138,Attempted
2018,Szczecin,Female,78,Attempted
