year,garnizon,outcome,total,percentage
2019,Bydgoszcz,Fatal,260,NA
2019,Gdańsk,Attempted,675,NA
2019,Gdańsk,Fatal,313,NA
2019,Gorzów Wlkp.,Attempted,369,NA
2019,Gorzów Wlkp.,Fatal,176,NA
2019,Katowice,Attempted,1620,NA
2019,Katowice,Fatal,548,NA
2019,Kielce,Attempted,512,NA
2019,Kielce,Fatal,190,NA
2019,Kraków,Attempted,1075,NA
2019,Kraków,Fatal,432,NA
2019,Lublin,Attempted,667,NA
2019,Lublin,Fatal,306,NA
2019,Łódź,Attempted,1252,NA
2019,Łódź,Fatal,345,NA
2019,Olsztyn,Attempted,611,NA
2019,Olsztyn,Fatal,242,NA
2019,Opole,Attempted,215,NA
2019,Opole,Fatal,129,NA
2019,Poznań,Attempted,747,NA
2019,Poznań,Fatal,438,NA
2019,Radom,Attempted,671,NA
2019,Radom,Fatal,400,NA
2019,Rzeszów,Attempted,545,NA
2019,Rzeszów,Fatal,235,NA
2019,Szczecin,Attempted,526,NA
2019,Szczecin,Fatal,266,NA
2019,Warszawa,Attempted,517,NA
2019,Warszawa,Fatal,349,NA
2019,Wrocław,Attempted,1095,NA
2019,Wrocław,Fatal,452,NA
2020,Białystok,Attempted,498,NA
2020,Białystok,Fatal,173,NA
2020,Bydgoszcz,Attempted,395,NA
2020,Bydgoszcz,Fatal,254,NA
2020,Gdańsk,Attempted,724,NA
2020,Gdańsk,Fatal,302,NA
2020,Gorzów Wlkp.,Attempted,315,NA
2020,Gorzów Wlkp.,Fatal,148,NA
2020,Katowice,Attempted,1709,NA
2020,Katowice,Fatal,562,NA
2020,Kielce,Attempted,533,NA
2020,Kielce,Fatal,192,NA
2020,Kraków,Attempted,1148,NA
