year,garnizon,outcome,suicides
2017,Wrocław,Attempted,782
2017,Wrocław,Fatal,440
2018,Białystok,Attempted,346
2018,Białystok,Fatal,139
2018,Bydgoszcz,Attempted,413
2018,Bydgoszcz,Fatal,281
2018,Gdańsk,Attempted,569
2018,Gdańsk,Fatal,274
2018,Gorzów Wlkp.,Attempted,294
2018,Gorzów Wlkp.,Fatal,153
2018,Katowice,Attempted,1686
2018,Katowice,Fatal,596
2018,Kielce,Attempted,517
2018,Kielce,Fatal,181
2018,Kraków,Attempted,1033
2018,Kraków,Fatal,398
2018,Łódź,Attempted,1240
2018,Łódź,Fatal,391
2018,Lublin,Attempted,612
2018,Lublin,Fatal,321
2018,Olsztyn,Attempted,546
2018,Olsztyn,Fatal,215
2018,Opole,Attempted,210
2018,Opole,Fatal,116
2018,Poznań,Attempted,706
2018,Poznań,Fatal,386
2018,Radom,Attempted,626
2018,Radom,Fatal,392
2018,Rzeszów,Attempted,592
2018,Rzeszów,Fatal,273
2018,Szczecin,Attempted,421
2018,Szczecin,Fatal,262
2018,Warszawa,Attempted,497
2018,Warszawa,Fatal,377
2018,Wrocław,Attempted,859
2018,Wrocław,Fatal,427
2019,Białystok,Attempted,461
2019,Białystok,Fatal,172
2019,Bydgoszcz,Attempted,401
2019,Bydgoszcz,Fatal,260
2019,Gdańsk,Attempted,675
2019,Gdańsk,Fatal,313
2019,Gorzów Wlkp.,Attempted,369
2019,Gorzów Wlkp.,Fatal,176
2019,Katowice,Attempted,1620
2019,Katowice,Fatal,548
2019,Kielce,Attempted,512
2019,Kielce,Fatal,190
2019,Kraków,Attempted,1075
2019,Kraków,Fatal,432
2019,Łódź,Attempted,1252
2019,Łódź,Fatal,345
2019,Lublin,Attempted,667
2019,Lublin,Fatal,306
2019,Olsztyn,Attempted,611
2019,Olsztyn,Fatal,242
2019,Opole,Attempted,215
2019,Opole,Fatal,129
2019,Poznań,Attempted,747
2019,Poznań,Fatal,438
2019,Radom,Attempted,671
2019,Radom,Fatal,400
2019,Rzeszów,Attempted,545
2019,Rzeszów,Fatal,235
2019,Szczecin,Attempted,526
2019,Szczecin,Fatal,266
2019,Warszawa,Attempted,517
2019,Warszawa,Fatal,349
2019,Wrocław,Attempted,1095
2019,Wrocław,Fatal,452
2020,Białystok,Attempted,498
2020,Białystok,Fatal,173
2020,Bydgoszcz,Attempted,395
2020,Bydgoszcz,Fatal,254
2020,Gdańsk,Attempted,724
2020,Gdańsk,Fatal,302
2020,Gorzów Wlkp.,Attempted,315
2020,Gorzów Wlkp.,Fatal,148
2020,Katowice,Attempted,1709
2020,Katowice,Fatal,562
2020,Kielce,Attempted,533
2020,Kielce,Fatal,192
2020,Kraków,Attempted,1148
2020,Kraków,Fatal,475
2020,Łódź,Attempted,1263
2020,Łódź,Fatal,329
2020,Lublin,Attempted,626
2020,Lublin,Fatal,302
2020,Olsztyn,Attempted,566
2020,Olsztyn,Fatal,245
2020,Opole,Attempted,194
2020,Opole,Fatal,105
2020,Poznań,Attempted,746
2020,Poznań,Fatal,409
2020,Radom,Attempted,654
2020,Radom,Fatal,375
2020,Rzeszów,Attempted,580
2020,Rzeszów,Fatal,250
2020,Szczecin,Attempted,529
2020,Szczecin,Fatal,243
2020,Warszawa,Attempted,548
2020,Warszawa,Fatal,377
2020,Wrocław,Attempted,984
2020,Wrocław,Fatal,423
2021,Białystok,Attempted,542
2021,Białystok,Fatal,147
2021,Bydgoszcz,Attempted,448
2021,Bydgoszcz,Fatal,278
2021,Gdańsk,Attempted,1675
2021,Gdańsk,Fatal,320
2021,Gorzów Wlkp.,Attempted,333
2021,Gorzów Wlkp.,Fatal,177
2021,Katowice,Attempted,1806
2021,Katowice,Fatal,582
2021,Kielce,Attempted,528
2021,Kielce,Fatal,188
2021,Kraków,Attempted,1217
2021,Kraków,Fatal,422
2021,Łódź,Attempted,1351
2021,Łódź,Fatal,325
2021,Lublin,Attempted,725
2021,Lublin,Fatal,320
2021,Olsztyn,Attempted,585
2021,Olsztyn,Fatal,218
2021,Opole,Attempted,226
2021,Opole,Fatal,120
2021,Poznań,Attempted,806
2021,Poznań,Fatal,413
2021,Radom,Attempted,675
2021,Radom,Fatal,359
