year,garnizon,sex,suicides,outcome
2014,KWP Lublin,Female,100,Attempted
2014,KWP Olsztyn,Female,109,Attempted
2014,KWP Opole,Female,44,Attempted
2014,KWP Poznań,Female,105,Attempted
2014,KWP Rzeszów,Female,70,Attempted
2014,KWP Szczecin,Female,114,Attempted
2014,KSP Warszawa,Female,121,Attempted
2014,KWP Radom,Female,94,Attempted
2014,KWP Wrocław,Female,122,Attempted
2015,KWP Bydgoszcz,Female,47,Attempted
2015,KWP Białystok,Female,58,Attempted
2015,KWP Gdańsk,Female,90,Attempted
2015,KWP Gorzów Wlkp.,Female,44,Attempted
2015,KWP Katowice,Female,359,Attempted
2015,KWP Kielce,Female,195,Attempted
2015,KWP Kraków,Female,235,Attempted
2015,KWP Łódź,Female,212,Attempted
2015,KWP Lublin,Female,88,Attempted
2015,KWP Olsztyn,Female,100,Attempted
2015,KWP Opole,Female,42,Attempted
2015,KWP Poznań,Female,81,Attempted
2015,KWP Rzeszów,Female,93,Attempted
2015,KWP Szczecin,Female,77,Attempted
2015,KSP Warszawa,Female,97,Attempted
2015,KWP Radom,Female,84,Attempted
2015,KWP Wrocław,Female,99,Attempted
2016,KWP Bydgoszcz,Female,54,Attempted
2016,KWP Białystok,Female,78,Attempted
2016,KWP Gdańsk,Female,87,Attempted
2016,KWP Gorzów Wlkp.,Female,51,Attempted
2016,KWP Katowice,Female,368,Attempted
2016,KWP Kielce,Female,143,Attempted
2016,KWP Kraków,Female,300,Attempted
2016,KWP Łódź,Female,257,Attempted
2016,KWP Lublin,Female,80,Attempted
2016,KWP Olsztyn,Female,88,Attempted
2016,KWP Opole,Female,48,Attempted
2016,KWP Poznań,Female,101,Attempted
2016,KWP Rzeszów,Female,69,Attempted
2016,KWP Szczecin,Female,67,Attempted
2016,KSP Warszawa,Female,99,Attempted
2016,KWP Radom,Female,85,Attempted
2016,KWP Wrocław,Female,137,Attempted
2017,KWP Bydgoszcz,Male,316,Attempted
2017,KWP Białystok,Male,257,Attempted
2017,KWP Gdańsk,Male,433,Attempted
2017,KWP Gorzów Wlkp.,Male,233,Attempted
2017,KWP Katowice,Male,1163,Attempted
2017,KWP Kielce,Male,472,Attempted
2017,KWP Kraków,Male,715,Attempted
2017,KWP Łódź,Male,908,Attempted
2017,KWP Lublin,Male,450,Attempted
2017,KWP Olsztyn,Male,426,Attempted
2017,KWP Opole,Male,190,Attempted
2017,KWP Poznań,Male,561,Attempted
2017,KWP Rzeszów,Male,464,Attempted
2017,KWP Szczecin,Male,370,Attempted
2017,KSP Warszawa,Male,384,Attempted
2017,KWP Radom,Male,537,Attempted
2017,KWP Wrocław,Male,636,Attempted
